recommendation_id,game,playtime_at_review_hours,game_q75,high_playtime,review_word_count,log_review_words,combat,challenge,progression,exploration,narrative,immersion,steam_purchase,received_for_free
229481164,Cyberpunk 2077,50.3167,138.225025,0,72,4.290459441,1,0,0,1,1,0,1,0
229479284,Cyberpunk 2077,153.4333,138.225025,1,82,4.418840608,0,1,0,1,1,0,1,0
229479130,Cyberpunk 2077,77.25,138.225025,0,14,2.708050201,0,0,0,0,1,0,1,0
229477906,Cyberpunk 2077,27.0167,138.225025,0,13,2.63905733,0,0,0,0,0,0,1,0
229476702,Cyberpunk 2077,38.8,138.225025,0,62,4.143134726,0,0,0,0,1,0,1,0
229476563,Cyberpunk 2077,171.0167,138.225025,1,19,2.995732274,0,0,0,0,0,0,1,0
229474853,Cyberpunk 2077,42.1667,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229474662,Cyberpunk 2077,40.2333,138.225025,0,38,3.663561646,0,0,0,0,0,0,1,0
229474430,Cyberpunk 2077,117.0167,138.225025,0,17,2.890371758,0,0,0,0,0,0,1,0
229473511,Cyberpunk 2077,221.9,138.225025,1,16,2.833213344,0,0,0,0,0,0,1,0
229472820,Cyberpunk 2077,4.25,138.225025,0,26,3.295836866,0,0,0,1,0,0,1,0
229472393,Cyberpunk 2077,10.1,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229471380,Cyberpunk 2077,37.1167,138.225025,0,26,3.295836866,0,0,0,0,1,0,1,0
229471085,Cyberpunk 2077,39.95,138.225025,0,14,2.708050201,0,0,0,0,0,0,1,0
229470991,Cyberpunk 2077,56.75,138.225025,0,19,2.995732274,0,0,0,0,1,0,1,0
229470497,Cyberpunk 2077,61.2,138.225025,0,108,4.691347882,0,0,0,0,1,0,1,0
229470142,Cyberpunk 2077,5.0833,138.225025,0,14,2.708050201,0,0,0,0,0,0,1,0
229470129,Cyberpunk 2077,20.7833,138.225025,0,26,3.295836866,0,0,0,0,0,0,1,0
229469915,Cyberpunk 2077,27.0167,138.225025,0,12,2.564949357,0,0,0,1,1,0,1,0
229469284,Cyberpunk 2077,88.2333,138.225025,0,19,2.995732274,0,0,0,0,0,0,1,0
229468232,Cyberpunk 2077,133.7,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
229468069,Cyberpunk 2077,63.8167,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229467795,Cyberpunk 2077,22.5167,138.225025,0,63,4.158883083,1,1,0,0,1,0,1,0
229467777,Cyberpunk 2077,81.1833,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
229467575,Cyberpunk 2077,108.9,138.225025,0,29,3.401197382,0,0,0,0,0,0,1,0
229467249,Cyberpunk 2077,53.8833,138.225025,0,30,3.433987204,0,0,0,0,0,0,1,0
229466468,Cyberpunk 2077,69.4167,138.225025,0,39,3.688879454,0,0,0,0,1,0,1,0
229465947,Cyberpunk 2077,74.3167,138.225025,0,36,3.610917913,0,0,0,0,0,0,1,0
229465851,Cyberpunk 2077,264.15,138.225025,1,10,2.397895273,0,0,0,0,0,0,1,0
229465724,Cyberpunk 2077,35.6,138.225025,0,98,4.59511985,0,0,0,0,1,0,1,0
229465311,Cyberpunk 2077,13.0667,138.225025,0,39,3.688879454,0,0,0,0,0,0,1,0
229464014,Cyberpunk 2077,37.2667,138.225025,0,28,3.36729583,0,0,0,0,0,0,1,0
229463288,Cyberpunk 2077,34.2833,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229463009,Cyberpunk 2077,269.2833,138.225025,1,60,4.110873864,0,0,0,0,1,1,1,0
229462561,Cyberpunk 2077,91.65,138.225025,0,123,4.820281566,0,0,1,0,0,0,1,0
229461940,Cyberpunk 2077,46.95,138.225025,0,22,3.135494216,0,0,1,0,1,0,1,0
